episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
5052,100.0,-9.78,-7.151,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,1,0,0,0,0.20400000000000063,0.0,-0.10599999999999987,0.0,1,0,8,22
5053,100.0,-9.935,-7.068,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,-0.15500000000000114,0.0,0.08300000000000018,0.0,7,0,8,22
5054,100.0,-10.037,-7.041,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,1,0,-0.10200000000000031,0.0,0.026999999999999247,0.0,3,0,8,22
5055,100.0,-10.005,-7.048,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,1,0,0.03200000000000003,0.0,-0.006999999999999673,0.0,3,0,8,22
5056,100.0,-10.113,-7.027,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,1,0,0,-0.10799999999999876,0.0,0.020999999999999908,0.0,2,0,8,22
5057,100.0,-10.387,-7.096,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,-0.2740000000000009,0.0,-0.06899999999999995,0.0,1,0,8,22
5058,100.0,-10.491,-7.167,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,-0.1039999999999992,0.0,-0.07099999999999973,0.0,7,0,8,22
5059,100.0,-10.491,-7.165,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,0.0,0.0,0.0019999999999997797,0.0,4,0,8,22
5060,100.0,-10.491,-5.438,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,0.0,0.0,1.7270000000000003,0.0,5,0,8,22
5061,100.0,-10.663,-3.569,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,1,0,0,-0.1720000000000006,0.0,1.8689999999999998,0.0,2,0,8,22
5062,100.0,-11.079,-2.759,78.0,-13.6,-2.5,0,1,0,1,0,1,0,2,1,0,0,0,-0.41600000000000037,0.0,0.81,0.0,1,0,8,22
5063,100.0,-11.382,-2.454,78.0,-13.6,-2.5,0,1,1,0,0,1,0,2,1,0,0,0,-0.30299999999999905,0.0,0.3049999999999997,0.0,4,0,8,22
5064,100.0,-11.388,-2.604,78.0,-13.6,-2.5,0,1,0,1,0,1,0,2,0,0,0,1,-0.006000000000000227,0.0,-0.1499999999999999,0.0,0,0,8,22
5065,100.0,-11.017,-2.961,78.0,-13.6,-2.5,0,1,0,1,0,1,0,1,0,0,0,1,0.37100000000000044,0.0,-0.35699999999999976,0.0,0,0,8,22
5066,100.0,-12.024,-3.62,78.0,-13.6,-2.5,0,1,0,1,0,0,2,1,0,0,0,1,-1.0069999999999997,0.0,-0.6590000000000003,0.0,6,0,8,22
5067,100.0,-12.064,-4.061,78.0,-13.6,-2.5,0,1,0,1,0,0,2,1,1,0,0,0,-0.040000000000000924,0.0,-0.44099999999999984,0.0,1,0,8,22
5068,100.0,-11.917,-4.508,78.0,-13.6,-2.5,0,1,0,1,0,0,2,1,1,0,0,0,0.14700000000000024,0.0,-0.44700000000000006,0.0,1,0,8,22
5069,100.0,-12.041,-5.051,78.0,-13.6,-2.5,0,1,0,1,0,0,2,1,0,1,0,0,-0.12400000000000055,0.0,-0.5430000000000001,0.0,2,0,8,22
5070,100.0,-11.989,-5.727,78.0,-13.6,-2.5,0,1,0,1,0,0,2,1,0,0,1,0,0.0519999999999996,0.0,-0.6760000000000002,0.0,3,0,8,22
5071,100.0,-11.909,-6.611,78.0,-13.6,-2.5,0,1,0,1,0,0,2,0,0,0,1,0,0.08000000000000007,0.0,-0.8839999999999995,0.0,4,0,8,22
5072,100.0,-11.822,-7.171,78.0,-13.6,-2.5,0,1,0,1,0,0,1,0,0,0,0,1,0.08700000000000152,0.0,-0.5600000000000005,0.0,0,0,8,22
5073,100.0,-11.796,-7.167,78.0,-13.6,-2.5,0,1,0,1,0,0,1,0,0,0,0,1,0.0259999999999998,0.0,0.004000000000000448,0.0,6,0,8,22
5074,100.0,-12.198,-7.164,78.0,-13.6,-2.5,0,1,0,1,0,0,1,3,0,0,0,1,-0.402000000000001,0.0,0.0030000000000001137,0.0,7,0,8,22
5075,100.0,-12.169,-7.164,78.0,-13.6,-2.5,0,1,0,1,0,0,1,3,0,0,0,1,0.028999999999999915,0.0,0.0,0.0,4,0,8,22
5076,100.0,-12.166,-5.159,78.0,-13.6,-2.5,0,1,0,1,0,0,1,3,0,0,0,1,0.0030000000000001137,0.0,2.005,0.0,5,0,8,22
