episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
39,34.0,-6.113,-4.613,12.0,1.3,-5.2,1,0,1,0,0,1,0,2,0,0,0,1,0.17499999999999982,1.5,-0.8330000000000006,-1.1000000000000005,0,0.0,25000,25000
40,34.0,-5.669,-5.424,12.0,1.5,-6.1,1,0,1,0,0,1,0,2,0,0,0,1,0.44400000000000084,0.19999999999999996,-0.8109999999999999,-0.8999999999999995,0,0.0,25000,25000
41,34.0,-5.12,-6.4,12.0,1.0,-7.0,1,0,1,0,0,1,0,2,0,0,1,0,0.5489999999999995,-0.5,-0.976,-0.9000000000000004,3,0.0,25000,25000
42,34.0,-4.774,-7.16,12.0,0.2,-4.8,1,0,0,1,0,0,0,2,0,1,0,0,0.3460000000000001,-0.8,-0.7599999999999998,2.2,2,0.0,25000,25000
43,34.0,-4.739,-7.167,12.0,-0.9,-3.3,1,0,0,1,0,0,0,1,0,1,0,0,0.03500000000000014,-1.1,-0.006999999999999673,1.5,4,0.0,25000,25000
44,34.0,-4.739,-5.439,12.0,-2.3,-2.7,1,0,0,1,0,0,0,1,0,1,0,0,0.0,-1.4,1.7279999999999998,0.5999999999999996,5,0.0,25000,25000
45,34.0,-4.739,-3.715,12.0,-3.9,-2.6,1,0,0,1,1,0,0,1,0,1,0,0,0.0,-1.6,1.7240000000000002,0.10000000000000009,7,0.0,25000,25000
46,34.0,-4.731,-3.315,12.0,-5.6,-2.3,0,1,0,1,1,0,0,1,0,0,0,1,0.008000000000000007,-1.6999999999999997,0.3999999999999999,0.30000000000000027,0,0.0,25000,25000
47,34.0,-4.57,-3.631,12.0,-7.1,-2.3,0,1,0,1,0,0,0,1,0,0,0,1,0.1609999999999996,-1.5,-0.31599999999999984,0.0,4,0.0,25000,25000
48,34.0,-4.477,-4.234,12.0,-8.8,-2.7,0,1,0,1,0,0,0,1,0,0,0,1,0.09299999999999997,-1.700000000000001,-0.6030000000000002,-0.40000000000000036,4,0.0,25000,25000
49,34.0,-4.556,-4.914,12.0,-10.8,-3.3,0,1,0,1,0,0,0,1,0,1,0,0,-0.07899999999999974,-2.0,-0.6799999999999997,-0.5999999999999996,2,0.0,25000,25000
50,34.0,-4.655,-5.682,12.0,-12.3,-4.0,0,1,0,1,0,0,0,0,0,0,0,1,-0.0990000000000002,-1.5,-0.7680000000000007,-0.7000000000000002,0,0.0,25000,25000
